origin,destination,flights,origin_lat,origin_lon,destination_lat,destination_lon
EBBR,KSFO,1,50.892426,4.495041,37.622192,-122.377739
EDDB,KLGA,1,52.343674,13.461075,40.779353,-73.872351
EDDB,VHHH,1,52.343674,13.461075,22.505676,113.824302
EDDB,VIDP,1,52.343674,13.461075,28.513339,77.239541
EDDB,VOBL,1,52.343674,13.461075,13.189133,77.761423
EDDF,EGKK,1,50.034252,8.562247,51.146713,-0.201094
EDDF,KBWI,1,50.034252,8.562247,39.177017,-76.729829
EDDF,LFPO,1,50.034252,8.562247,48.727661,2.403118
EDDL,KHHR,1,51.274567,6.741448,33.935806,-118.398257
EDDL,KLAS,1,51.274567,6.741448,36.098386,-115.157172
EDDL,LFPO,1,51.274567,6.741448,48.727661,2.403118
EDDL,LLBG,1,51.274567,6.741448,32.004093,34.891163
EDDM,KBWI,1,48.606667,12.066527,39.177017,-76.729829
EDDM,KPHX,1,48.606667,12.066527,33.440861,-112.0092
EDDM,RJAA,1,48.606667,12.066527,35.288223,144.953327
EGCC,KHHR,1,53.343761,-2.286647,33.935806,-118.398257
EGCC,LLBG,1,53.343761,-2.286647,32.004093,34.891163
EGKK,KPHL,1,51.146713,-0.201094,39.868881,-75.240465
EGKK,KTEB,1,51.146713,-0.201094,40.850544,-74.064697
EGLL,KTEB,1,51.352575,-0.5470079999999999,40.850544,-74.064697
EGLL,RPLL,1,51.352575,-0.5470079999999999,13.469971,121.632054
EGSS,KAUS,1,51.883644,0.232735,30.398041,-97.566875
EGSS,KDCA,1,51.883644,0.232735,38.850205,-77.037643
EGSS,KHHR,1,51.883644,0.232735,33.935806,-118.398257
EGSS,KHND,1,51.883644,0.232735,36.073655,-115.123804
EGSS,KLAS,1,51.883644,0.232735,36.098386,-115.157172
EGSS,KMIA,1,51.883644,0.232735,25.78363,-80.373077
EGSS,LFPO,1,51.883644,0.232735,48.727661,2.403118
EGSS,LTFM,1,51.883644,0.232735,41.174337,28.709148
EGSS,VOBL,1,51.883644,0.232735,13.189133,77.761423
EHAM,KCLT,1,52.34265,4.710114,35.173521,-80.931816
EHAM,KRDU,1,52.34265,4.710114,35.883396,-78.774193
EIDW,EPWA,1,53.422464,-6.279737,52.169499,20.963876
EIDW,KMIA,1,53.422464,-6.279737,25.78363,-80.373077
EKCH,KTEB,1,55.631653,12.677224,40.850544,-74.064697
EKCH,VIDP,1,55.631653,12.677224,28.513339,77.239541
EKCH,VOBL,1,55.631653,12.677224,13.189133,77.761423
ENGM,KBFI,1,60.140945,11.048363,47.458901,-122.307833
ENGM,KBOS,1,60.140945,11.048363,42.37329,-71.006954
ENGM,KIAD,1,60.140945,11.048363,38.938037,-77.436264
ENGM,VIDP,1,60.140945,11.048363,28.513339,77.239541
EPWA,KBFI,1,52.169499,20.963876,47.458901,-122.307833
EPWA,KDAL,1,52.169499,20.963876,32.834524,-96.666601
EPWA,KPHX,1,52.169499,20.963876,33.440861,-112.0092
ESSA,KHHR,1,59.625363,17.908851,33.935806,-118.398257
ESSA,KMDW,1,59.625363,17.908851,41.7848,-87.752194
ESSA,KTEB,1,59.625363,17.908851,40.850544,-74.064697
ESSA,VABB,1,59.625363,17.908851,19.090235,72.853151
KADS,KDCA,1,33.030116,-96.838653,38.850205,-77.037643
KADS,KDEN,1,33.030116,-96.838653,39.847028,-104.641541
KADS,LIMC,1,33.030116,-96.838653,45.590836,8.74438
KADS,RJAA,1,33.030116,-96.838653,35.288223,144.953327
KAFW,KDCA,1,33.19249,-97.198187,38.850205,-77.037643
KAFW,KMCO,1,33.19249,-97.198187,28.432892,-81.295817
KAFW,KSLC,1,33.19249,-97.198187,40.62038,-111.994507
KAFW,KTPA,1,33.19249,-97.198187,27.986519,-82.541576
KAFW,RCTP,1,33.19249,-97.198187,25.071266,121.22286
KAUS,LEMD,1,30.398041,-97.566875,40.481779,-3.544511
KBFI,KLGA,1,47.458901,-122.307833,40.779353,-73.872351
KBNA,LFPG,1,36.097583,-86.690252,48.99637,2.629346
KBOS,LEMG,1,42.37329,-71.006954,36.682744,-4.492429
KBTF,KDAB,1,40.802456,-111.976364,29.075684,-81.267823
KBTF,KLGA,1,40.802456,-111.976364,40.779353,-73.872351
KBWI,KDAB,1,39.177017,-76.729829,29.075684,-81.267823
KBWI,KSNA,1,39.177017,-76.729829,33.675053,-117.869274
KBWI,LEMG,1,39.177017,-76.729829,36.682744,-4.492429
KBWI,LIRF,1,39.177017,-76.729829,41.829117,12.220667
KCLT,LGAT,1,35.173521,-80.931816,36.249343,24.156072
KDAB,KDFW,1,29.075684,-81.267823,32.899747,-97.073037
KDAB,KEWR,1,29.075684,-81.267823,40.698946,-74.164488
KDAB,LPPT,1,29.075684,-81.267823,38.779919,-9.136684
KDAL,LGAT,1,32.834524,-96.666601,36.249343,24.156072
KDAL,LIMC,1,32.834524,-96.666601,45.590836,8.74438
KDCA,KSNA,1,38.850205,-77.037643,33.675053,-117.869274
KDTW,LSZH,1,42.24678,-83.33854,47.463867,8.546883
KDTW,RJBB,1,42.24678,-83.33854,34.468627,135.305672
KEWR,VHHH,1,40.698946,-74.164488,22.505676,113.824302
KFLL,KNZY,1,26.077011,-80.175787,32.734219,-117.192381
KFLL,KPDX,1,26.077011,-80.175787,45.586756,-122.599903
KFLL,LBBG,1,26.077011,-80.175787,42.51329,28.269695
KFLL,LIMC,1,26.077011,-80.175787,45.590836,8.74438
KHHR,LEMG,1,33.935806,-118.398257,36.682744,-4.492429
KHND,KLGA,1,36.073655,-115.123804,40.779353,-73.872351
KIAD,KIWA,1,38.938037,-77.436264,33.267838,-111.814783
KIAD,LEMG,1,38.938037,-77.436264,36.682744,-4.492429
KIAD,LTAI,1,38.938037,-77.436264,36.915925,30.823875
KIAH,KIWA,1,29.97757,-95.277961,33.267838,-111.814783
